"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,3.412902832E-2,6.616241455E-2,9.855505371E0,9.855786543E0
9.998000009E-3,3.532653809E-2,7.214996338E-2,9.860145721E0,9.860472972E0
1.999600000E-2,4.026626587E-2,6.706054688E-2,9.855804749E0,9.856115144E0
2.999400000E-2,4.805007935E-2,6.706054688E-2,9.861492920E0,9.861837990E0
3.999100000E-2,4.595443726E-2,7.349716187E-2,9.871072998E0,9.871453580E0
4.998900001E-2,4.430786133E-2,7.319778442E-2,9.854906616E0,9.855278054E0
5.998700000E-2,4.326004028E-2,6.915618896E-2,9.857900391E0,9.858237881E0
6.998500001E-2,4.969665527E-2,7.229965210E-2,9.862540741E0,9.862930947E0
7.998200000E-2,4.745132446E-2,7.140151978E-2,9.863588562E0,9.863961128E0
8.998000000E-2,3.847000122E-2,7.259902954E-2,9.862091675E0,9.862433917E0
9.997800000E-2,4.191284180E-2,7.619155884E-2,9.853110352E0,9.853494073E0
1.099760000E-1,4.236190796E-2,7.349716187E-2,9.847871246E0,9.848236616E0
1.199740000E-1,4.745132446E-2,6.855743408E-2,9.851763153E0,9.852115964E0
1.299730000E-1,4.580474854E-2,7.289840698E-2,9.854307861E0,9.854683946E0
1.399700000E-1,4.340972900E-2,7.604187012E-2,9.846224670E0,9.846613988E0
1.499690000E-1,4.011657715E-2,6.556365967E-2,9.851314087E0,9.851613937E0
1.599680000E-1,3.652404785E-2,6.646179199E-2,9.849966888E0,9.850258823E0
1.699660000E-1,4.251159668E-2,5.822891235E-2,9.846074982E0,9.846338933E0
1.799650000E-1,4.176315308E-2,6.691085815E-2,9.857301636E0,9.857617195E0
1.899630000E-1,3.996688843E-2,7.095245361E-2,9.854607239E0,9.854943705E0
1.999610000E-1,3.966751099E-2,6.436614990E-2,9.864337006E0,9.864626758E0
2.099590000E-1,4.864883423E-2,6.646179199E-2,9.853858795E0,9.854203014E0
2.199570000E-1,4.595443726E-2,7.065307617E-2,9.857151947E0,9.857512271E0
2.299560000E-1,4.924758911E-2,6.406677246E-2,9.860894165E0,9.861225259E0
2.399540000E-1,4.625381470E-2,6.227050781E-2,9.859247589E0,9.859552731E0
2.499530000E-1,4.116439819E-2,7.349716187E-2,9.867031403E0,9.867390995E0
2.599510000E-1,4.296066284E-2,7.888595581E-2,9.853409729E0,9.853819153E0
2.699500000E-1,3.547622681E-2,6.825805664E-2,9.858050079E0,9.858350222E0
2.799480000E-1,4.251159668E-2,6.780899048E-2,9.856852570E0,9.857177480E0
2.899460000E-1,4.370910645E-2,7.110214233E-2,9.857451324E0,9.857804655E0
2.999430000E-1,4.326004028E-2,6.661148071E-2,9.858798523E0,9.859118461E0
3.099410000E-1,4.400848389E-2,7.783813477E-2,9.856104126E0,9.856509730E0
3.199390000E-1,4.909790039E-2,7.873626709E-2,9.859097900E0,9.859534543E0
3.299370000E-1,4.580474854E-2,7.349716187E-2,9.862840118E0,9.863220321E0
3.399350000E-1,4.161346436E-2,7.065307617E-2,9.863438873E0,9.863779699E0
3.499330000E-1,4.221221924E-2,7.080276489E-2,9.862989807E0,9.863334266E0
3.599310000E-1,4.535568237E-2,7.244934082E-2,9.851763153E0,9.852133945E0
3.699290000E-1,4.400848389E-2,7.185058594E-2,9.855655060E0,9.856015215E0
3.799260000E-1,3.367996216E-2,7.349716187E-2,9.867630157E0,9.867961345E0
3.899220000E-1,3.532653809E-2,6.646179199E-2,9.851613464E0,9.851900983E0
3.999200000E-1,3.353027344E-2,7.155120850E-2,9.858199768E0,9.858516446E0
4.099170000E-1,4.355941772E-2,6.646179199E-2,9.862540741E0,9.862860866E0
4.199137083E-1,4.415817261E-2,7.005432129E-2,9.854906616E0,9.855254536E0
4.299117083E-1,4.146377563E-2,5.867797852E-2,9.864187317E0,9.864448985E0
4.399087083E-1,3.861968994E-2,5.972579956E-2,9.854607239E0,9.854863900E0
4.499057083E-1,4.565505981E-2,7.469467163E-2,9.848470001E0,9.848859073E0
4.599027083E-1,4.550537109E-2,7.454498291E-2,9.848769379E0,9.849156612E0
4.699007083E-1,4.326004028E-2,6.631210327E-2,9.858499146E0,9.858817075E0
4.798967083E-1,4.775070190E-2,7.185058594E-2,9.860744476E0,9.861121856E0
4.898937083E-1,4.206253052E-2,7.244934082E-2,9.851912842E0,9.852269018E0
4.998917083E-1,3.787124634E-2,7.200027466E-2,9.863139496E0,9.863474995E0
5.098887083E-1,4.041595459E-2,6.017486572E-2,9.853260040E0,9.853526672E0
5.198857083E-1,3.727249146E-2,6.885681152E-2,9.857301636E0,9.857612593E0
5.298807083E-1,3.861968994E-2,7.170089722E-2,9.860445099E0,9.860781412E0
5.398777083E-1,4.236190796E-2,6.990463257E-2,9.858948212E0,9.859287045E0
5.498737083E-1,4.086502075E-2,6.855743408E-2,9.860295410E0,9.860618421E0
5.598707083E-1,4.056564331E-2,7.214996338E-2,9.854607239E0,9.854954846E0
5.698677083E-1,4.370910645E-2,7.783813477E-2,9.863738251E0,9.864142210E0
5.798647083E-1,4.670288086E-2,6.271957397E-2,9.874815216E0,9.875124832E0
5.898607083E-1,3.921844482E-2,6.571334839E-2,9.849517822E0,9.849815108E0
5.998577083E-1,3.951782227E-2,6.256988525E-2,9.851463776E0,9.851741733E0
6.098537083E-1,4.760101318E-2,6.780899048E-2,9.849068756E0,9.849417205E0
6.198497083E-1,4.805007935E-2,6.676116943E-2,9.867181091E0,9.867523932E0
6.298467083E-1,4.805007935E-2,6.855743408E-2,9.849068756E0,9.849424567E0
6.398417083E-1,4.221221924E-2,6.825805664E-2,9.858349457E0,9.858676130E0
6.498387083E-1,4.176315308E-2,7.065307617E-2,9.859996033E0,9.860337610E0
6.598357083E-1,3.906875610E-2,7.125183105E-2,9.859846344E0,9.860181191E0
6.698327083E-1,3.427871704E-2,7.214996338E-2,9.854008484E0,9.854332238E0
6.798297083E-1,4.490661621E-2,8.217910767E-2,9.861792297E0,9.862236933E0
6.898257083E-1,5.553451538E-2,6.945556641E-2,9.857750702E0,9.858151807E0
6.998217083E-1,4.415817261E-2,6.152206421E-2,9.854756927E0,9.855047895E0
7.098187083E-1,3.861968994E-2,8.068222046E-2,9.861792297E0,9.862197951E0
7.198147083E-1,4.370910645E-2,7.694000244E-2,9.868677979E0,9.869074693E0
7.298117083E-1,4.580474854E-2,6.795867920E-2,9.860594788E0,9.860935352E0
