"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,1.013392639E-1,4.685855713E0,8.665629730E0,9.851936461E0
9.998000009E-3,9.909393311E-2,4.687202911E0,8.654852142E0,9.843076569E0
1.999600000E-2,1.052311707E-1,4.680766296E0,8.667276306E0,9.851006308E0
2.999400001E-2,9.984237671E-2,4.686903534E0,8.669521637E0,9.855842869E0
3.999200001E-2,1.098715210E-1,4.686604156E0,8.663234711E0,9.850277454E0
4.998900001E-2,1.029858398E-1,4.683909760E0,8.660690002E0,9.846683098E0
5.998600001E-2,1.055305481E-1,4.693190460E0,8.664731598E0,9.854681479E0
6.998300001E-2,1.059796143E-1,4.682263184E0,8.657995605E0,9.843561759E0
7.998200001E-2,1.056802368E-1,4.693639526E0,8.671766968E0,9.861083240E0
8.997900001E-2,1.038839722E-1,4.696932678E0,8.666527863E0,9.858025850E0
9.997600000E-2,1.080752563E-1,4.684358826E0,8.669371948E0,9.854588162E0
1.099750000E-1,1.041833496E-1,4.689897308E0,8.663085022E0,9.851651284E0
1.199720000E-1,1.098715210E-1,4.684059448E0,8.653355255E0,9.840378135E0
1.299700000E-1,1.017883301E-1,4.687951355E0,8.666228485E0,9.853464615E0
1.399680000E-1,1.022373962E-1,4.681365051E0,8.662785645E0,9.847308584E0
1.499660000E-1,1.020877075E-1,4.690645752E0,8.661737823E0,9.850801064E0
1.599630000E-1,1.056802368E-1,4.695435791E0,8.654702454E0,9.846936587E0
1.699610000E-1,1.098715210E-1,4.686304779E0,8.666527863E0,9.853031484E0
1.799590000E-1,1.002914429E-1,4.681664429E0,8.671916656E0,9.855464408E0
1.899580000E-1,9.789642334E-2,4.675227814E0,8.658145294E0,9.840265177E0
1.999550000E-1,1.032852173E-1,4.672234039E0,8.669671326E0,9.849042575E0
2.099540000E-1,1.079255676E-1,4.691094818E0,8.659791870E0,9.849366160E0
2.199520000E-1,1.011895752E-1,4.687651978E0,8.673413544E0,9.859636043E0
2.299520000E-1,1.070274353E-1,4.678221588E0,8.657995605E0,9.841651284E0
2.399500000E-1,1.008901978E-1,4.679269409E0,8.657247162E0,9.841426190E0
2.499480000E-1,1.047821045E-1,4.676125946E0,8.675958252E0,9.856438745E0
2.599470000E-1,1.110690308E-1,4.689448242E0,8.659791870E0,9.848616978E0
2.699460000E-1,1.008901978E-1,4.694986725E0,8.657696228E0,9.849303689E0
2.799450000E-1,1.017883301E-1,4.687502289E0,8.661438446E0,9.849038254E0
2.899440000E-1,1.019380188E-1,4.685256958E0,8.662186890E0,9.848629642E0
2.999430000E-1,9.714797974E-2,4.684209137E0,8.656498718E0,9.843079956E0
3.099410000E-1,1.017883301E-1,4.684209137E0,8.664731598E0,9.850368002E0
3.199400000E-1,1.007405090E-1,4.692591705E0,8.664432220E0,9.854082974E0
3.299400000E-1,1.032852173E-1,4.701273651E0,8.657097473E0,9.851800771E0
3.399390000E-1,1.068777466E-1,4.681814117E0,8.658744049E0,9.844016192E0
3.499380000E-1,1.029858398E-1,4.687352600E0,8.663234711E0,9.850559179E0
3.599370000E-1,9.699829102E-2,4.688400421E0,8.659791870E0,9.847969456E0
3.699360000E-1,1.062789917E-1,4.685107269E0,8.650062103E0,9.837941845E0
3.799340000E-1,1.070274353E-1,4.687053223E0,8.660390625E0,9.847958599E0
3.899320000E-1,1.037342834E-1,4.693938904E0,8.660540314E0,9.851334009E0
3.999300000E-1,1.017883301E-1,4.684957581E0,8.659642181E0,9.846247565E0
4.099290000E-1,1.073268127E-1,4.684209137E0,8.660390625E0,9.846608556E0
4.199280000E-1,9.639953613E-2,4.687801666E0,8.663085022E0,9.850574574E0
4.299270000E-1,1.011895752E-1,4.687053223E0,8.649762726E0,9.838551847E0
4.399260000E-1,9.909393311E-2,4.676425323E0,8.661887512E0,9.844138799E0
4.499250000E-1,9.969268799E-2,4.689597931E0,8.662037201E0,9.850540892E0
4.599230000E-1,1.028361511E-1,4.687502289E0,8.666378174E0,9.853393509E0
4.699220000E-1,1.053808594E-1,4.680317230E0,8.668174438E0,9.851584776E0
